,   Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2015,205,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,Balranald (A),2016,210,100,-,3,649,5,6,15,104,795,5,97,16,69,982,224,16,563,807,2.5,190,42,248,54,32,13,570,3.1,752,191,588,49.8,33.8,6.3,7.3,2.8,67.2,28.1,586,1019,58.7,18,7.6,0.6,11.1,30.8,2.1,29,579,131,734,18,34,21,41.4,24.6,29.7,97.7,2.3,93.4,6.6,35.6,3.4,31.7,1.4,3,3,2,4,3,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2011,8585,70,12,75,12928,91,98,133,829,14417,129,769,264,1952,17531,3546,553,9549,13657,2.5,3477,645,3794,1193,433,148,9693,3,12599,2821,10619,46.1,36.7,5.5,8.3,3.3,-,-,960,1731,61.5,20,8.3,1.2,11.3,20.3,1.9,-,-,-,11662,1000,901,57,32.7,34.4,29.7,92.2,7.8,90.5,9.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2012,8043,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2013,8378,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2014,8382,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2015,8359,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional (A),2016,8267,95,20,51,13793,61,85,124,685,15035,139,838,208,1945,18165,3884,592,9934,14411,2.5,3583,727,3885,1276,531,131,10136,3,12853,3130,11584,45,37.3,5.6,8.7,3.5,79.2,18,1177,1752,59.4,19.7,8.4,0.9,11.8,20.7,1.9,303,11262,1994,12166,1464,595,49,32.5,33.7,30.7,94.3,5.7,88.5,11.5,15.4,5.0,14.1,5.0,6,7,7,6,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2011,28318,121,8906,3475,35289,375,397,505,2308,51848,4092,1482,1050,4881,63353,11661,2184,34687,48529,-,13363,3695,12371,3283,2574,932,36218,-,52711,12083,58616,-,-,-,-,-,-,-,1552,2436,66.4,18.6,5.9,0.5,10.7,10.4,1.8,-,-,-,22583,6445,19062,347,32.7,30.6,33.2,87.9,12.1,85.7,14.3,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2012,27550,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2013,27980,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2014,28833,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2015,30344,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,Bayside (A),2016,30187,150,14156,3675,38941,535,464,610,2620,61538,5844,2137,779,5490,75788,12502,3392,38482,54377,-,14934,3677,14439,3300,2856,1062,40269,-,55079,16044,66217,-,-,-,-,-,82.2,14.6,2037,2394,67.6,18.5,5.2,0.4,10.7,11.9,1.7,5666,28825,16425,21538,7629,24528,453,28.7,28.8,38.8,91.5,8.5,82.8,17.2,-,-,-,-,7,9,9,4,8,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2011,4753,90,3,84,8772,82,58,131,737,10117,110,1029,203,1582,13041,3465,337,8876,12675,2.3,2525,526,4520,1002,336,71,8981,2.8,11955,2752,8501,51.3,27.3,7.4,10.5,3.4,-,-,881,1496,67.6,16.9,6.8,1,12.9,26.3,1.9,-,-,-,10504,868,1043,242,44.3,28.3,23.8,92.1,7.9,90.8,9.2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2012,4407,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2013,4335,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2014,4405,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2015,4308,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley (A),2016,4073,120,12,54,9099,65,56,116,644,10219,103,973,177,1681,13153,4018,323,8873,13222,2.2,2328,559,4733,858,423,81,8991,2.7,11604,3189,8942,49.3,27.9,7.2,11.8,3.8,78.2,18.5,1081,1472,66.8,15.4,7.1,0.7,12.6,25.9,1.8,281,10320,1813,10934,1333,547,270,45.5,27.5,22.7,94.2,5.8,90.8,9.2,17.9,7.9,15.2,7.6,6,5,6,5,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2011,2106,90,3,18,3045,42,39,37,302,3589,44,541,62,542,4778,1381,166,3462,5009,2.4,1037,188,1584,526,177,26,3527,2.8,4243,1170,3707,46.1,30,6.9,13.2,3.8,-,-,972,1505,65.5,19.3,7.8,1.6,13.7,28.6,1.8,-,-,-,4492,100,215,194,44.6,26.2,25.7,92,8,88.1,11.9,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2012,1736,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2013,1786,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2014,1820,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2015,1845,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600,Bellingen (A),2016,1826,140,3,10,3234,30,26,40,252,3658,43,516,80,593,4890,1440,163,3370,4970,2.3,956,217,1592,451,209,28,3446,2.8,4053,1313,3808,44.9,30.8,7,13.4,3.8,78.9,18.3,1185,1510,64.1,17.8,7.7,1.1,13.6,27.3,1.8,144,3682,833,4466,237,136,85,45.5,26.4,24.6,94.1,5.9,89.2,10.8,17.7,14.2,13.3,7.3,5,5,8,5,5,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2011,1381,65,4,13,2171,26,26,34,246,2584,33,363,62,370,3412,1028,54,2165,3246,2.2,619,121,1145,201,64,28,2188,2.8,3152,507,2131,54,24,8.6,9.6,3.8,-,-,620,1296,66.3,16.6,7.1,0.7,12.3,29.5,2,-,-,-,2855,146,160,79,44.2,27.9,23.1,92.9,7.1,94.3,5.7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2012,1362,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2013,1358,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2014,1464,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2015,1454,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10650,Berrigan (A),2016,1389,100,3,8,2192,13,25,40,209,2553,8,324,59,338,3282,1075,84,2103,3265,2.2,590,133,1104,209,82,16,2123,2.8,2986,574,2220,52.4,25.2,8.9,9.8,3.7,73.1,22.8,759,1301,64.6,15,6.7,0.7,11.9,28.3,1.9,65,2632,363,2904,107,121,120,44.2,26.3,24.4,95.9,4.1,93.9,6.1,15.9,5.7,15.0,4.4,4,4,4,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,Blacktown (C),2011,61095,100,11554,3303,88770,594,342,799,1820,108900,9253,2786,2254,10597,133790,15099,2091,76471,93656,3.1,35131,7955,20467,10314,5340,1248,80467,3.3,111915,13178,90250,51.7,33.4,4.6,6.9,3.4,-,-,1231,2168,61.8,23.6,6.6,0.8,10.7,11.6,1.9,-,-,-,77675,10725,4808,389,23.2,43.6,30.1,85.2,14.8,89.2,10.8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
