Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Palmerston (C)",3,0,0,0,9,0,9,8,3,0,0,3,0,8,4,3,0,3,4,9,9,1965,2045,
"Roper Gulf (R)",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,295,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,115,121,
"Victoria Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,146,161,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,
"West Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,4,184,199,
"West Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,148,
"Unincorporated NT",0,0,0,0,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,0,6,268,288,
"No usual address (NT)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,134,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",35,12,7,5,41,0,49,67,18,0,3,16,27,22,33,26,29,25,31,46,54,11388,11930,


" $1-$149 ($1-$7,799)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,0,8,0,5,5,98,68,0,10,0,0,4,5,4,17,27,16,12,6,3,276,560,
"Barkly (R)",4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,3,4,0,5,0,294,329,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
"Central Desert (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,86,
"Coomalie (S)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,
"Darwin (C)",0,0,38,0,13,4,251,227,8,14,3,4,19,19,18,58,41,70,25,30,9,815,1670,
"East Arnhem (R)",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,0,4,0,5,489,517,
"Katherine (T)",6,0,0,0,3,0,23,22,0,3,0,0,0,0,0,4,8,4,3,5,0,169,253,
"Litchfield (M)",9,0,10,0,6,5,62,66,0,0,0,0,15,7,3,4,6,6,9,8,8,202,417,
"MacDonnell (R)",0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,10,10,3,8,0,0,416,476,
"Palmerston (C)",0,0,11,0,6,0,95,131,4,7,0,0,12,9,4,20,21,12,14,8,5,323,687,
"Roper Gulf (R)",7,0,0,0,3,0,4,0,0,0,0,0,0,3,14,4,4,0,12,0,9,425,485,
"Tiwi Islands (R)",0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,6,4,0,11,0,17,378,424,
"Victoria Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,107,121,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,
"West Arnhem (R)",5,0,0,0,0,0,4,0,0,0,0,0,0,5,3,9,3,4,9,4,13,458,514,
"West Daly (R)",0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,5,0,0,334,352,
"Unincorporated NT",0,0,0,0,0,3,15,9,7,0,0,0,0,0,0,0,0,3,0,5,0,44,86,
"No usual address (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,56,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"Total",35,7,62,0,38,17,573,542,20,38,0,11,49,47,73,151,134,131,109,71,81,4874,7077,


" $150-$299 ($7,800-$15,599)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",0,0,6,0,6,0,55,53,7,3,0,0,10,16,14,15,30,9,9,7,3,681,925,
"Barkly (R)",6,0,0,0,3,0,6,7,5,0,0,0,0,6,18,10,22,7,12,3,10,1100,1216,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,65,
"Central Desert (R)",0,0,0,0,0,0,6,0,0,5,0,0,0,12,17,12,16,3,13,0,4,905,991,
"Coomalie (S)",0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,6,0,72,89,
"Darwin (C)",3,0,22,0,16,5,203,205,27,6,3,12,34,47,20,70,65,41,44,35,10,1539,2415,
"East Arnhem (R)",4,0,0,0,4,0,25,0,3,0,0,0,5,7,17,26,42,10,41,3,19,1865,2081,
"Katherine (T)",3,0,0,0,0,0,18,18,0,0,0,0,4,0,3,10,5,0,4,4,0,309,389,
"Litchfield (M)",21,0,5,0,17,3,48,38,11,0,0,0,16,13,7,22,10,11,8,7,9,396,647,
"MacDonnell (R)",3,0,0,0,0,0,14,0,0,0,0,0,0,6,24,12,25,17,21,3,3,925,1054,
"Palmerston (C)",0,0,6,0,14,7,82,75,7,3,3,5,12,26,0,27,17,11,15,19,8,647,975,
"Roper Gulf (R)",14,0,0,0,0,0,12,9,0,0,0,0,0,5,28,28,21,9,15,0,27,1140,1296,
"Tiwi Islands (R)",0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,8,11,4,20,0,6,354,422,
"Victoria Daly (R)",3,0,0,0,0,0,0,3,0,0,0,0,7,4,0,10,6,0,0,0,3,339,378,
"Wagait (S)",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,
"West Arnhem (R)",3,0,0,0,0,0,19,6,0,0,0,0,6,4,6,20,23,9,16,0,35,1113,1257,
"West Daly (R)",4,0,0,0,0,0,5,0,0,0,0,0,0,0,8,13,9,4,13,0,5,613,665,
"Unincorporated NT",3,0,0,0,3,3,5,13,3,0,0,0,4,0,5,16,3,0,0,3,0,104,173,
"No usual address (NT)",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,225,241,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,
"Total",81,4,40,4,68,13,509,425,72,15,10,19,95,132,182,299,304,137,243,90,144,12422,15319,


" $300-$399 ($15,600-$20,799)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",6,0,0,0,12,3,51,28,21,8,0,0,8,6,8,22,22,20,14,7,7,564,803,
"Barkly (R)",4,0,0,0,3,0,10,5,0,0,0,0,0,9,21,12,8,0,6,6,4,313,393,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,
"Central Desert (R)",4,0,0,0,3,0,4,0,0,4,0,0,3,3,14,9,14,3,8,0,0,185,240,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,70,83,
"Darwin (C)",3,0,23,0,31,8,193,249,31,3,3,15,34,66,47,79,94,28,52,39,28,1843,2865,
"East Arnhem (R)",3,0,0,0,6,0,16,0,0,6,0,0,0,5,22,37,26,10,29,0,0,309,480,
"Katherine (T)",0,0,0,0,9,0,8,21,4,3,0,0,4,6,0,11,11,0,10,0,0,247,341,
"Litchfield (M)",20,0,10,0,18,3,45,27,3,0,0,5,16,18,4,30,19,0,14,10,3,405,649,
"MacDonnell (R)",6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,13,0,11,0,3,242,331,
"Palmerston (C)",0,0,7,0,22,12,77,57,10,4,0,0,12,20,10,31,30,13,26,0,0,665,997,
"Roper Gulf (R)",13,0,0,0,3,0,5,0,0,0,0,0,0,5,13,12,6,3,4,3,3,317,396,
"Tiwi Islands (R)",0,0,0,0,0,0,9,0,0,0,0,0,0,3,8,5,6,5,7,0,8,146,194,
"Victoria Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,3,0,6,90,113,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,
"West Arnhem (R)",3,0,0,0,0,0,7,5,0,0,0,0,3,3,4,4,9,10,16,4,3,239,311,
"West Daly (R)",4,0,0,0,0,0,4,4,0,0,0,0,0,0,5,10,3,0,12,0,0,128,169,
"Unincorporated NT",5,0,6,0,3,0,12,6,3,0,0,3,0,5,0,13,3,0,0,0,0,117,179,
"No usual address (NT)",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,294,310,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,
"Total",75,8,43,9,114,27,446,416,89,25,8,28,73,145,188,286,286,95,218,78,71,6219,8927,


" $400-$499 ($20,800-$25,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",3,0,6,0,21,0,54,37,24,0,3,3,11,12,14,42,46,9,26,9,0,546,862,
"Barkly (R)",11,0,0,0,0,0,8,5,0,0,0,0,5,6,12,21,9,0,5,5,0,215,303,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
"Central Desert (R)",5,0,0,0,0,0,5,0,0,3,0,0,0,0,26,13,7,3,8,3,0,120,191,
"Coomalie (S)",3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,0,0,0,0,0,60,81,
"Darwin (C)",5,3,22,0,56,16,249,309,69,17,16,21,31,94,34,123,149,47,77,34,39,1515,2898,
"East Arnhem (R)",4,0,0,0,11,0,10,0,0,0,0,0,0,3,21,23,9,5,26,0,8,126,234,
"Katherine (T)",11,0,0,0,6,0,9,20,9,0,0,0,3,3,8,21,12,0,6,5,0,216,327,
"Litchfield (M)",30,0,10,3,24,3,45,16,15,3,4,5,15,19,13,31,24,8,34,20,8,406,733,
"MacDonnell (R)",0,0,0,0,0,0,4,3,0,0,0,0,0,0,18,8,11,0,20,0,0,105,185,
"Palmerston (C)",3,0,11,0,29,4,91,68,13,0,4,6,11,33,14,32,37,21,26,16,5,557,1005,
"Roper Gulf (R)",9,0,0,0,0,0,6,8,0,0,4,0,0,0,17,18,9,4,11,0,8,144,238,
"Tiwi Islands (R)",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,9,0,4,0,0,69,96,
"Victoria Daly (R)",4,0,0,0,0,0,3,0,0,0,0,0,0,0,5,6,10,0,10,0,0,58,105,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,
"West Arnhem (R)",4,0,0,0,0,0,5,6,3,0,0,0,0,0,7,19,16,0,12,0,3,55,140,
"West Daly (R)",4,0,0,0,0,0,4,0,0,0,0,0,0,0,8,17,4,0,9,0,4,73,118,
"Unincorporated NT",9,0,5,0,3,0,11,26,4,0,0,0,0,0,0,21,4,0,8,3,3,105,210,
"No usual address (NT)",0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,3,0,0,0,0,0,208,233,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,
"Total",103,6,52,5,159,27,521,504,139,26,26,32,84,186,185,395,368,110,279,105,81,4593,7989,


" $500-$649 ($26,000-$33,799)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",8,0,22,3,31,4,106,75,34,5,0,18,22,34,26,64,103,15,30,15,4,297,923,
"Barkly (R)",40,0,0,0,0,0,16,12,4,0,0,0,6,9,23,26,22,0,15,9,0,74,255,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,
"Central Desert (R)",10,0,0,0,7,0,9,0,0,0,0,0,0,3,21,8,10,0,12,0,0,87,167,
"Coomalie (S)",0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,8,9,3,6,0,0,24,67,
"Darwin (C)",8,4,48,8,123,33,309,381,103,25,20,28,87,141,76,173,274,65,98,76,34,1097,3212,
"East Arnhem (R)",0,0,0,0,10,0,28,0,0,0,0,0,0,9,19,39,36,6,39,0,0,61,258,
"Katherine (T)",18,0,3,0,13,0,31,27,14,0,0,3,7,11,11,26,44,5,7,5,9,118,359,
"Litchfield (M)",31,0,19,4,82,10,89,52,34,6,4,10,21,31,16,58,51,14,40,26,5,227,825,
"MacDonnell (R)",7,0,0,0,0,0,7,12,4,0,0,0,0,3,42,18,19,0,20,4,0,40,186,
"Palmerston (C)",5,3,24,6,53,15,159,72,47,14,15,12,23,56,21,74,102,29,56,31,13,352,1161,
"Roper Gulf (R)",23,0,0,0,5,0,6,5,0,0,0,0,0,0,43,33,32,0,27,3,4,97,287,
"Tiwi Islands (R)",0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,7,19,0,24,0,3,43,116,
"Victoria Daly (R)",19,0,0,0,4,0,3,3,0,0,0,0,0,4,9,8,5,0,3,3,0,38,112,
"Wagait (S)",0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,0,0,0,0,0,16,26,
"West Arnhem (R)",12,0,0,0,6,0,20,5,5,0,4,0,0,5,28,25,23,7,27,0,3,47,220,
"West Daly (R)",0,0,0,0,3,0,3,0,0,0,0,0,0,0,18,29,13,0,9,0,0,44,119,
"Unincorporated NT",5,0,11,0,9,0,26,62,10,0,3,3,0,9,4,13,14,4,8,8,5,50,240,
"No usual address (NT)",3,0,0,0,3,0,7,13,4,0,0,4,0,3,8,0,0,0,0,5,0,73,134,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",203,10,125,22,352,68,820,727,253,56,48,82,165,311,380,619,770,144,428,200,99,2798,8671,


" $650-$799 ($33,800-$41,599)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",13,0,19,9,48,23,160,152,66,11,8,18,37,51,49,78,134,32,51,44,13,207,1233,
"Barkly (R)",49,0,0,0,4,5,28,8,0,0,0,0,3,9,10,16,33,4,16,10,5,34,233,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,
"Central Desert (R)",15,0,0,0,5,0,9,0,0,0,0,0,0,5,17,13,6,0,11,4,0,18,92,
"Coomalie (S)",7,0,0,0,3,0,4,7,4,3,0,0,0,4,0,8,4,0,0,0,0,15,70,
"Darwin (C)",13,0,89,18,195,72,442,479,179,33,36,49,129,161,182,201,380,91,135,105,38,731,3766,
"East Arnhem (R)",0,0,0,0,7,0,8,3,11,0,0,0,0,0,7,19,28,3,15,0,0,22,128,
"Katherine (T)",29,0,6,3,24,7,34,38,14,0,4,3,3,17,19,34,60,0,28,15,3,87,431,
"Litchfield (M)",54,3,24,7,110,22,95,46,33,4,8,8,33,32,57,69,70,17,58,28,6,170,969,
"MacDonnell (R)",18,0,0,0,0,0,3,15,5,0,0,0,0,3,15,14,5,5,12,0,6,25,127,
"Palmerston (C)",9,3,34,15,100,43,230,113,50,19,22,28,46,60,83,83,186,25,66,39,26,213,1478,
"Roper Gulf (R)",21,0,4,0,7,3,10,17,0,0,0,0,0,4,30,12,30,5,17,3,7,30,185,
"Tiwi Islands (R)",0,0,0,0,0,0,3,4,0,0,0,0,0,0,9,16,11,0,10,0,0,9,64,
"Victoria Daly (R)",33,0,0,0,0,0,5,13,0,0,0,0,0,0,6,10,10,0,14,0,0,19,116,
"Wagait (S)",0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,
"West Arnhem (R)",4,4,0,0,4,0,11,14,7,0,0,0,4,0,20,22,17,9,13,0,4,33,155,
"West Daly (R)",0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,4,6,0,4,0,0,5,31,
"Unincorporated NT",13,10,3,0,14,0,24,158,27,0,0,0,12,32,15,15,23,14,22,8,0,42,431,
"No usual address (NT)",9,0,0,0,4,0,9,19,4,0,0,0,0,4,26,3,0,6,0,5,0,59,148,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",297,31,184,49,530,175,1068,1090,395,79,77,118,279,385,559,608,1007,200,457,269,96,1725,9685,


" $800-$999 ($41,600-$51,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Alice Springs (T)",12,0,19,9,103,36,161,170,83,14,13,41,64,62,153,130,293,39,69,44,18,161,1708,
"Barkly (R)",46,0,0,0,6,0,30,10,7,0,6,0,0,3,36,7,50,7,17,7,5,20,256,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",13,0,0,0,4,0,9,3,0,0,0,0,0,0,21,4,9,3,0,0,0,5,81,
"Coomalie (S)",4,0,0,0,6,0,5,13,3,0,0,0,0,4,5,16,0,0,0,0,4,10,67,
"Darwin (C)",28,16,147,27,319,136,507,530,276,48,66,89,211,191,456,291,577,162,212,154,55,624,5123,
"East Arnhem (R)",0,0,0,0,0,0,9,3,12,0,0,0,0,0,9,18,15,0,8,3,0,3,84,
"Katherine (T)",40,0,6,0,46,10,39,43,20,0,9,5,16,24,76,45,74,0,26,16,0,43,553,
"Litchfield (M)",63,11,46,8,162,40,102,47,84,4,12,23,40,55,210,88,87,25,61,55,9,165,1402,
"MacDonnell (R)",17,0,0,0,0,0,8,21,0,0,0,0,0,5,9,14,13,7,5,3,0,7,113,
"Palmerston (C)",19,11,89,20,159,79,222,130,123,16,35,62,82,90,271,150,225,42,76,66,24,170,2132,
"Roper Gulf (R)",24,0,0,0,3,0,12,17,4,0,0,0,0,7,13,11,11,3,9,6,0,21,167,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,17,0,0,0,3,0,10,34,
"Victoria Daly (R)",36,3,0,0,0,3,6,9,0,0,0,0,0,0,12,11,4,0,7,0,0,8,106,
"Wagait (S)",0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,0,0,0,3,23,
"West Arnhem (R)",0,0,4,0,3,0,7,14,9,0,0,0,0,4,16,11,15,3,9,0,0,18,119,
"West Daly (R)",0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,13,5,0,6,0,0,4,39,
"Unincorporated NT",18,13,0,0,5,3,32,100,38,0,4,8,5,20,27,32,37,4,11,21,0,22,395,
"No usual address (NT)",10,0,0,0,6,0,9,20,0,0,0,3,0,6,5,3,5,7,0,3,0,47,128,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",336,56,315,70,829,305,1159,1143,674,97,142,231,427,467,1343,863,1415,305,523,381,125,1357,12545,


" $1,000-$1,249 ($52,000-$64,999)"
