Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by POA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,9,12,0,48,25,33,55,30,25,13,7,7,8,7,0,0,0,0,0,0,40,32,0,353,
"2406 crosses NSW/QLD",0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,0,0,0,0,0,0,0,31,
"2540 crosses NSW/OT",0,0,4,9,0,9,15,39,56,108,143,124,118,206,124,83,43,20,28,13,14,4,165,9,0,1308,
"2611 crosses ACT/NSW",3,4,0,0,0,0,5,3,16,21,36,49,59,139,168,195,189,113,141,111,76,9,95,12,0,1450,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,5,0,3,10,8,5,3,8,9,4,3,0,4,0,0,74,
"2620 crosses NSW/ACT",0,4,0,3,0,4,15,13,26,59,56,76,105,213,210,184,135,81,90,58,37,10,143,5,0,1538,
"3644 crosses VIC/NSW",0,0,0,0,0,3,8,7,10,22,36,32,33,36,23,16,3,3,3,0,4,0,34,3,0,272,
"3691 crosses VIC/NSW",0,0,0,0,0,0,4,6,13,30,35,38,50,85,67,47,20,3,6,3,4,0,50,0,0,468,
"3707 crosses VIC/NSW",0,0,0,0,0,4,0,0,4,0,14,6,7,8,3,0,0,0,0,0,0,0,6,0,0,55,
"4375 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"4377 crosses QLD/NSW",0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,
"4380 crosses QLD/NSW",0,0,0,0,0,5,4,7,19,27,35,23,33,28,19,11,3,4,0,0,3,0,18,0,0,234,
"4383 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,
"4385 crosses QLD/NSW",0,0,0,0,0,0,0,0,3,3,4,4,5,0,0,0,0,0,0,0,0,0,3,0,0,26,
"4825 crosses QLD/NT",0,0,0,4,0,9,9,7,12,16,19,25,43,115,126,87,54,29,34,24,7,0,66,8,0,692,
"Total",6,8,25,32,9,87,74,127,208,324,405,391,475,844,773,643,449,269,314,228,150,14,632,65,0,6542,


" Couple family with: Three dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,0,7,0,44,16,26,23,16,13,10,0,9,3,3,0,0,0,0,0,0,30,14,0,230,
"2406 crosses NSW/QLD",0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,0,0,0,0,0,0,3,0,0,13,
"2540 crosses NSW/OT",0,0,0,3,0,7,4,13,35,48,73,59,56,80,46,31,19,4,9,11,5,0,61,7,0,569,
"2611 crosses ACT/NSW",0,0,0,0,0,4,0,7,7,10,7,15,22,50,63,62,44,32,43,33,28,3,41,3,0,474,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,4,0,0,3,3,0,11,0,0,40,
"2620 crosses NSW/ACT",0,4,0,0,0,4,6,0,4,14,24,26,36,99,83,60,65,28,33,31,12,3,59,7,0,602,
"3644 crosses VIC/NSW",0,0,0,0,0,0,0,8,4,7,10,15,10,24,7,11,3,10,6,0,4,0,23,0,0,141,
"3691 crosses VIC/NSW",0,0,0,0,0,0,0,5,0,12,15,28,19,41,30,13,12,5,4,0,0,0,31,0,0,221,
"3707 crosses VIC/NSW",0,0,0,0,0,0,0,4,4,4,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,35,
"4375 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"4377 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,
"4380 crosses QLD/NSW",0,0,0,0,0,0,0,0,12,11,20,5,9,14,0,6,0,3,0,0,3,0,12,3,0,105,
"4383 crosses QLD/NSW",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,
"4385 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,3,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,19,
"4825 crosses QLD/NT",0,0,0,0,0,4,4,9,8,3,12,14,12,61,54,43,14,10,14,12,6,0,40,3,0,321,
"Total",0,6,3,13,0,57,30,75,99,141,177,196,176,403,297,218,154,91,107,94,57,6,315,44,0,2775,


" Couple family with: Four dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,7,6,0,14,7,3,5,7,8,5,0,4,0,0,0,0,0,0,0,0,19,0,0,86,
"2406 crosses NSW/QLD",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,
"2540 crosses NSW/OT",0,0,0,0,0,6,0,6,14,11,18,21,24,23,7,8,5,5,0,0,0,0,24,0,0,172,
"2611 crosses ACT/NSW",0,0,0,0,0,0,0,0,5,4,3,7,6,13,9,0,14,10,3,6,4,0,18,0,0,103,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2620 crosses NSW/ACT",0,0,0,0,0,0,0,4,8,7,12,12,13,14,11,5,10,4,9,3,0,4,14,0,0,122,
"3644 crosses VIC/NSW",0,0,0,3,0,0,0,0,3,0,3,7,0,4,0,0,0,0,0,0,0,0,13,0,0,45,
"3691 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,8,0,7,0,5,6,0,0,0,0,0,0,0,5,0,0,42,
"3707 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"4375 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4377 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4380 crosses QLD/NSW",0,0,0,0,0,0,0,0,3,3,10,0,3,5,0,0,0,0,0,0,0,0,7,0,0,39,
"4383 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"4385 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"4825 crosses QLD/NT",0,0,0,0,0,6,0,4,9,3,9,7,10,21,10,3,5,9,8,0,0,0,11,0,0,99,
"Total",0,0,6,7,5,26,9,17,35,51,68,55,72,103,49,24,28,24,24,10,9,4,107,3,0,734,


" Couple family with: Five dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,0,0,0,3,0,6,3,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,0,27,
"2406 crosses NSW/QLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2540 crosses NSW/OT",0,0,0,0,0,0,0,0,0,0,7,4,3,6,0,0,0,0,0,0,0,0,9,0,0,31,
"2611 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2620 crosses NSW/ACT",0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,
"3644 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,
"3691 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"3707 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4375 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4377 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4380 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,
"4383 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4385 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"4825 crosses QLD/NT",0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,4,0,0,0,0,0,0,4,0,0,23,
"Total",0,0,0,0,0,6,6,8,8,18,16,13,15,16,6,8,5,0,6,4,4,0,21,0,0,150,


" Couple family with: Six or more dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,
"2406 crosses NSW/QLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2540 crosses NSW/OT",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"2611 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2620 crosses NSW/ACT",0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,8,
"3644 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"3691 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"3707 crosses VIC/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4375 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4377 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4380 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
"4383 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4385 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4825 crosses QLD/NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,
"Total",0,0,0,0,0,4,0,0,7,3,3,4,4,9,0,0,0,0,0,0,0,0,13,0,0,58,


" One parent family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,5,17,0,29,14,17,23,20,16,13,4,11,0,5,0,0,0,0,0,0,26,19,0,210,
"2406 crosses NSW/QLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,
"2540 crosses NSW/OT",0,3,0,15,3,26,26,91,110,105,71,40,34,48,17,3,0,0,4,0,0,0,107,33,0,738,
"2611 crosses ACT/NSW",0,0,3,4,0,12,14,19,28,24,28,35,25,50,41,28,8,11,4,4,0,0,51,8,0,391,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
"2620 crosses NSW/ACT",0,3,3,9,0,7,16,38,42,42,55,44,50,60,50,21,12,10,4,4,0,0,64,18,0,554,
"3644 crosses VIC/NSW",0,3,0,0,0,3,5,12,15,11,12,7,10,4,5,0,0,0,0,0,0,0,15,0,0,105,
"3691 crosses VIC/NSW",0,0,0,0,0,0,0,5,3,7,10,6,0,8,0,0,0,0,0,0,0,0,11,0,0,59,
"3707 crosses VIC/NSW",0,0,0,0,0,0,0,4,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
"4375 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"4377 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"4380 crosses QLD/NSW",0,0,0,0,0,0,5,8,21,11,9,5,5,5,3,5,0,0,0,0,0,0,7,7,0,95,
"4383 crosses QLD/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"4385 crosses QLD/NSW",0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,19,
"4825 crosses QLD/NT",0,0,11,0,0,5,5,22,16,11,23,11,20,25,19,9,5,4,0,4,0,0,36,6,0,234,
"Total",4,11,16,41,6,89,78,216,265,247,232,160,145,207,143,71,24,25,17,10,11,0,325,91,0,2442,


" One parent family with: One dependent child"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"POA",
"0872 crosses NT/SA/WA",0,0,16,78,20,27,16,15,18,11,6,8,0,7,0,0,0,0,0,0,0,0,23,17,0,270,
"2406 crosses NSW/QLD",0,0,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
"2540 crosses NSW/OT",0,16,4,24,39,63,92,71,64,65,30,21,17,19,7,3,4,0,0,4,0,0,55,11,0,604,
"2611 crosses ACT/NSW",0,9,0,10,8,14,28,17,17,20,16,28,24,48,9,7,13,0,0,0,0,0,25,0,0,298,
"2618 crosses ACT/NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
