Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"CDCF Count of Dependent Children in Family by LGA by FINF Total Family Income (weekly)"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

" Couple family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",0,0,0,0,0,5,3,6,16,27,30,53,55,167,156,89,78,29,30,32,14,0,117,8,0,895,
"Barkly (R)",0,0,9,11,0,30,8,10,10,14,13,4,10,15,12,5,0,0,0,0,0,0,16,0,0,169,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,0,0,0,0,13,5,13,21,15,12,3,3,0,4,0,0,0,0,0,0,0,4,0,0,97,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,20,
"Darwin (C)",0,6,0,6,3,6,13,26,55,84,130,149,194,416,350,272,286,144,171,153,106,7,287,22,0,2880,
"East Arnhem (R)",0,0,14,10,0,48,18,25,17,24,6,3,10,8,5,0,0,0,0,0,0,0,18,59,0,259,
"Katherine (T)",0,0,0,0,0,0,3,7,3,12,23,25,26,53,59,26,23,9,9,4,0,0,52,6,0,336,
"Litchfield (M)",0,0,0,7,3,0,5,12,7,17,32,30,46,138,104,115,80,49,45,40,34,0,106,8,0,887,
"MacDonnell (R)",0,0,6,6,0,9,11,16,12,4,8,4,0,3,0,0,0,0,0,0,0,0,16,13,0,102,
"Palmerston (C)",0,3,0,0,0,0,12,6,18,50,66,74,100,266,197,169,193,86,76,81,25,3,179,15,0,1640,
"Roper Gulf (R)",0,4,9,5,7,36,13,16,19,21,8,4,8,7,5,3,0,0,0,0,0,0,14,9,0,176,
"Tiwi Islands (R)",0,0,9,10,0,7,7,7,4,6,3,0,0,4,0,0,0,0,0,0,0,0,6,3,0,71,
"Victoria Daly (R)",0,0,0,6,0,5,5,7,8,4,7,8,3,5,0,0,0,0,0,0,0,0,15,8,0,71,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,
"West Arnhem (R)",0,0,9,7,5,27,20,19,25,5,6,6,4,12,9,5,7,4,0,0,0,0,14,12,0,191,
"West Daly (R)",0,0,5,13,0,14,16,13,9,7,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,92,
"Unincorporated NT",0,0,0,0,0,0,3,0,4,0,6,9,13,31,39,27,28,13,15,8,8,3,31,10,0,270,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",5,20,57,83,22,208,120,172,239,286,346,375,475,1142,942,728,699,334,354,327,194,14,876,167,0,8177,


" Couple family with: Three dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",0,0,0,0,0,3,0,5,3,7,15,17,20,66,48,42,28,11,20,5,5,0,53,4,0,349,
"Barkly (R)",0,0,0,5,0,18,3,4,12,5,8,9,7,6,9,4,0,0,0,0,0,0,14,5,0,105,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,0,0,0,0,19,5,13,13,4,0,3,0,6,0,5,0,0,0,0,0,0,13,0,0,75,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,
"Darwin (C)",0,0,5,5,0,0,3,15,25,36,37,54,47,152,93,93,90,58,46,65,37,4,122,13,0,1001,
"East Arnhem (R)",0,0,4,0,0,26,7,9,13,10,7,3,0,3,0,0,0,0,0,0,0,0,12,21,0,124,
"Katherine (T)",0,0,0,0,0,6,0,5,8,8,4,10,7,27,25,15,4,4,4,0,0,0,23,3,0,146,
"Litchfield (M)",0,0,0,0,0,0,4,0,4,9,22,16,20,46,34,28,28,17,20,16,9,0,32,4,0,315,
"MacDonnell (R)",0,0,0,0,3,14,0,6,9,3,10,0,0,4,0,0,0,0,0,0,0,0,13,4,0,75,
"Palmerston (C)",0,0,0,0,0,4,4,0,10,17,30,41,37,101,74,58,67,32,31,19,7,0,73,9,0,623,
"Roper Gulf (R)",0,0,0,10,0,24,11,0,7,3,9,4,4,5,3,0,0,0,0,0,0,0,20,3,0,98,
"Tiwi Islands (R)",0,0,0,6,4,5,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,36,
"Victoria Daly (R)",0,0,0,0,0,3,4,5,0,0,3,0,3,4,0,0,0,0,0,0,0,0,8,3,0,51,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"West Arnhem (R)",0,0,0,0,0,0,10,3,12,4,5,0,0,3,0,3,0,0,0,0,0,0,14,10,0,90,
"West Daly (R)",0,0,0,5,0,10,9,9,6,8,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,66,
"Unincorporated NT",0,0,0,0,0,0,0,0,0,4,7,10,8,14,10,13,12,11,3,3,6,0,14,0,0,115,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,4,25,42,12,133,77,85,126,133,149,170,164,438,304,257,230,133,128,108,61,4,422,89,0,3294,


" Couple family with: Four dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",0,0,0,0,0,0,0,0,0,3,3,3,5,15,16,5,0,3,0,3,4,0,17,3,0,81,
"Barkly (R)",0,0,0,4,0,7,5,0,5,4,4,0,0,5,0,0,0,0,0,0,0,0,3,6,0,42,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,0,0,0,0,9,0,4,6,8,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,30,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Darwin (C)",0,0,0,4,0,4,6,0,6,15,22,14,19,40,28,19,20,15,14,14,9,0,44,3,0,286,
"East Arnhem (R)",0,0,5,0,0,4,7,9,10,5,3,3,0,0,0,0,0,0,0,0,0,0,3,13,0,66,
"Katherine (T)",0,0,0,0,0,3,0,0,0,0,4,3,5,9,4,5,0,0,0,0,0,0,6,0,0,47,
"Litchfield (M)",0,0,0,0,0,0,0,0,0,5,0,8,5,12,15,6,5,5,6,0,0,0,11,0,0,86,
"MacDonnell (R)",0,0,0,0,0,5,0,3,5,5,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,32,
"Palmerston (C)",0,0,0,0,0,0,3,0,4,10,7,3,14,26,19,15,11,9,7,0,0,0,18,0,0,154,
"Roper Gulf (R)",0,0,0,0,0,10,4,6,8,0,6,5,0,3,0,0,0,0,0,0,0,0,16,0,0,59,
"Tiwi Islands (R)",0,0,0,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,
"Victoria Daly (R)",0,0,0,0,0,6,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,28,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"West Arnhem (R)",0,0,0,5,0,0,7,0,8,3,3,0,0,0,6,0,3,0,0,0,0,0,6,3,0,46,
"West Daly (R)",0,0,0,0,0,4,6,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,38,
"Unincorporated NT",0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,3,0,0,0,5,0,0,27,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,12,22,3,51,41,42,59,56,69,45,58,110,93,54,43,37,23,15,16,0,163,36,0,1057,


" Couple family with: Five dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",0,0,0,0,0,0,0,0,0,0,3,5,3,0,5,0,0,0,0,0,0,0,4,0,0,24,
"Barkly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Darwin (C)",0,0,0,0,0,0,0,6,3,0,3,0,8,5,8,3,0,4,3,6,0,0,3,0,0,41,
"East Arnhem (R)",0,0,0,0,0,6,0,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,6,10,0,30,
"Katherine (T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,
"Litchfield (M)",0,0,0,0,0,0,0,0,0,0,3,0,3,4,4,0,0,0,3,0,0,0,0,0,0,19,
"MacDonnell (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,
"Palmerston (C)",0,0,0,0,0,0,0,0,0,5,4,3,4,3,8,0,0,3,0,0,0,0,6,0,0,40,
"Roper Gulf (R)",0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,22,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,
"Victoria Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"West Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,
"West Daly (R)",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
"Unincorporated NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,3,0,4,0,11,5,18,16,19,19,13,17,19,18,9,8,9,8,0,0,0,53,15,0,264,


" Couple family with: Six or more dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,12,
"Barkly (R)",0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Coomalie (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Darwin (C)",0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,5,0,0,6,0,0,0,0,0,0,27,
"East Arnhem (R)",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,
"Katherine (T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Litchfield (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"MacDonnell (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Palmerston (C)",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,
"Roper Gulf (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,
"Tiwi Islands (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Victoria Daly (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,
"Wagait (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"West Arnhem (R)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"West Daly (R)",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,
"Unincorporated NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Migratory - Offshore - Shipping (NT)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,5,0,9,8,8,11,7,9,0,6,11,8,4,7,0,3,5,0,0,30,9,0,141,


" One parent family with: No dependent children"
"FINF Total Family Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Alice Springs (T)",0,0,0,4,3,15,3,21,3,15,17,20,19,35,18,8,8,8,4,0,0,0,32,6,0,233,
"Barkly (R)",0,0,0,7,0,3,8,5,11,3,4,6,5,4,0,3,0,0,0,0,0,0,10,0,0,71,
"Belyuen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Central Desert (R)",0,0,0,4,0,3,3,6,7,8,10,7,4,5,0,0,0,0,0,0,0,0,0,0,0,47,
"Coomalie (S)",0,0,0,0,0,0,0,3,5,3,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,
"Darwin (C)",0,3,5,9,6,22,25,40,56,67,57,59,51,125,99,35,18,9,17,15,4,0,147,27,0,890,
"East Arnhem (R)",0,0,0,7,4,19,7,23,19,8,11,5,6,0,0,0,0,0,0,0,0,0,10,38,0,157,
"Katherine (T)",0,0,4,5,0,4,5,5,8,3,8,4,4,6,4,4,0,0,0,0,0,0,13,0,0,65,
"Litchfield (M)",0,0,0,3,3,5,3,10,16,18,19,8,14,35,14,12,10,5,4,3,0,0,19,5,0,201,
