"Taxation statistics 2015–16 Companies: Selected items, for income years 1980–81 to 2015–161,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-882,1988-892,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
 - Strata title,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"20,685","25,905","30,515","33,370","36,155","42,360","44,425","47,675","51,265","53,400","56,190","58,830","60,935","61,790","63,480","65,450","67,285","67,223","69,355","67,890","66,837"
 - Corporate unit trust,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,66,76,65
 - Non-profit organisation,no.,"1,965","1,975","1,960","1,770","1,880","1,940","1,890",950,"1,035",na,na,na,"5,355","4,075","4,120","2,730","2,965","1,420","1,465","1,425","1,575","1,800","1,785","1,775","1,765","1,750","1,750","1,735","1,715","1,795","1,875","1,907","1,963","2,012","1,875","1,626"
 - Pooled development fund,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,27,22,16
 - Other,no.,"3,715","3,975","3,830","4,835","5,460","5,575","4,995","2,200","3,055","3,615","3,875","4,985","5,630","5,845","5,135","2,385","2,630","1,075","1,115","1,165","2,615","2,230","1,425","1,235","1,340","1,715","1,710","1,695","1,590","1,650","1,575","1,576","1,774","1,856","1,886","1,872"
 - Total type,no.,"230,870","236,555","231,830","237,525","262,925","317,455","297,060","110,190","152,390","420,500","433,035","448,140","468,285","500,785","536,625","561,580","594,295","620,965","648,455","682,105","713,045","734,755","752,610","769,520","791,405","811,570","833,790","844,730","839,320","853,480","870,495","896,981","923,280","955,051","970,611","941,166"
Number of companies by size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - loss/nil ,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"127,165","126,225","127,692","132,708","139,123","138,072","129,743"
 - micro ,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"657,955","672,690","695,344","714,856","736,844","749,587","726,785"
 - small ,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"52,585","54,950","56,556","57,926","60,541","63,418","64,395"
 - medium ,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"13,675","14,435","15,107","15,420","16,116","17,018","17,609"
 - large ,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,010","1,210","1,242","1,268","1,328","1,370","1,480"
 - very large,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,100,990,"1,040","1,102","1,099","1,146","1,154"
 - Total size,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"853,480","870,505","896,981","923,280","955,051","970,611","941,166"
Number of companies by lodgment type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - paper,no.,na,na,na,na,na,na,na,na,na,"420,500","433,030","448,140","464,355","204,600","135,780","118,625","115,975","103,635","97,905","96,060","96,245","91,795","82,425","73,535","67,320","67,590","66,075","65,190","62,385","48,960","70,590","68,462","66,083","66,080","61,834","55,821"
 - electronic ,no.,na,na,na,na,na,na,na,na,na,0,0,0,"3,930","296,185","400,845","442,955","478,325","517,325","550,555","586,045","616,800","642,960","670,180","695,990","724,090","743,980","767,710","779,545","776,930","804,520","799,910","828,519","857,197","888,971","908,777","885,345"
 - Total lodgment,no.,na,na,na,na,na,na,na,na,na,"420,500","433,030","448,140","468,285","500,785","536,625","561,580","594,300","620,960","648,460","682,105","713,040","734,755","752,605","769,525","791,410","811,570","833,790","844,735","839,315","853,480","870,505","896,981","923,280","955,051","970,611","941,166"
Number of companies by lodgment method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - Tax agent,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"895,932","915,001","890,553"
 - Non-tax agent,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"59,119","55,610","50,613"
 - Total method,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"955,051","970,611","941,166"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information statement - Calculation of total profit or loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross payments subject to foreign resident withholding,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,725,805,935,"1,010",950,"1,010","1,025","1,069","1,128","1,100","1,060",968
Gross payments subject to foreign resident withholding,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"146,408,478","491,004,009","716,904,537","919,527,126","1,289,583,839","622,554,583","448,675,173","496,717,877","724,798,699","611,627,435","665,788,770","608,061,983"
Gross payments where ABN not quoted,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,160",790,455,405,420,305,315,325,295,260,250,249,198,181,159,151
Gross payments where ABN not quoted,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"7,278,639,570","4,157,550,116","1,227,829,415","256,211,506","218,797,724","154,994,248","90,979,446","140,271,258","225,577,732","100,365,871","13,803,458","13,432,562","7,975,679","7,505,376","4,165,634","6,683,636"
Other sales of goods and services,no.,na,"70,610","68,385","67,585","77,345","94,435","90,855","40,815","52,375","157,770","162,055","165,540","167,940",na,na,na,"222,355","237,410","247,920","262,735","282,475","289,570","298,395","290,695","293,325","301,100","305,330","307,730","304,395","316,290","323,950","335,571","349,109","365,091","375,810","367,655"
Other sales of goods and services,$,"162,176,738,000","182,147,752,000","209,248,862,000","262,059,172,000","295,085,705,000","294,358,123,000","335,682,462,000","255,393,000,000","304,071,000,000","471,648,593,396","494,020,158,133","478,848,406,597","496,603,665,151",na,na,na,"709,763,386,915","793,952,922,460","870,030,087,774","938,522,734,260","969,390,890,795","1,061,803,018,946","1,120,637,509,342","1,160,522,518,043","1,257,627,455,919","1,378,483,924,211","1,502,493,674,612","1,598,294,084,509","1,706,121,297,133","1,683,402,859,714","1,819,309,790,054","1,941,135,572,426","2,016,334,059,699","2,054,401,396,471","2,096,875,807,316","2,114,878,522,253"
Gross distribution from partnerships,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"13,535","13,025","13,045","13,355","14,245","14,830","14,385","13,605","13,180","12,915","12,695","11,965","11,235","10,580","10,350","10,111","10,010","9,957","9,593","8,832"
Gross distribution from partnerships,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"3,236,465,441","4,752,022,723","1,898,817,335","3,094,941,392","3,446,077,032","4,347,676,141","6,314,580,650","3,106,251,207","3,134,305,026","3,446,522,551","3,132,797,824","6,367,218,845","4,801,534,403","4,405,248,328","3,962,067,927","4,820,752,990","5,389,876,748","6,151,320,989","6,640,108,112","4,263,050,221"
Gross distribution from trusts,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"43,790","48,035","51,775","54,625","53,315","57,350","60,465","65,160","70,000","73,415","74,280","76,085","71,480","65,420","62,900","62,727","64,548","67,416","70,965","72,074"
Gross distribution from trusts,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"7,315,714,226","9,219,204,979","10,914,681,060","12,369,771,632","12,369,539,566","13,357,664,285","14,986,695,477","18,416,234,102","21,708,518,806","26,555,316,055","31,415,622,787","38,689,344,208","34,088,253,450","27,995,675,677","29,558,640,981","30,597,996,330","31,347,636,882","33,636,633,379","38,305,475,364","41,296,037,900"
Forestry managed investment scheme income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,325,280,275,215,250,213,201,180,169
Forestry managed investment scheme income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,098,227,323","101,710,335","12,931,579","16,096,587","29,544,759","15,870,217","11,787,651","47,641,471","26,763,156"
Gross interest,no.,na,"78,590","79,800","82,575","93,300","101,110","104,975","58,805","67,210","163,905","175,870","179,065","186,305","202,130","229,835","253,860","270,420","280,925","293,560","308,995","331,505","342,470","353,005","366,590","385,695","406,925","422,890","438,130","430,405","425,115","448,525","451,358","449,469","450,415","452,033","432,155"
Gross interest,$,"11,262,421,000","15,028,175,000","15,354,872,000","18,699,893,000","25,664,540,000","32,934,363,000","44,201,485,000","32,594,000,000","42,433,000,000","89,096,023,490","89,865,687,945","71,499,774,930","64,110,288,201","59,320,476,448","73,850,517,893","86,894,800,070","96,353,039,900","95,988,960,314","97,233,771,754","113,753,757,339","138,416,176,105","135,908,745,675","112,469,493,227","119,646,668,190","129,191,142,880","139,943,180,027","175,094,429,265","216,991,486,170","206,547,536,495","181,632,824,496","208,989,803,823","216,668,099,731","193,596,823,743","179,290,364,682","176,903,947,786","173,619,092,036"
Gross rent and other leasing and hiring income,no.,na,"46,815","50,890","52,735","57,375","51,020","46,825","22,010","25,650","60,845","61,190","61,185","62,415","65,995","70,050","72,745","74,220","74,915","74,375","74,480","73,945","74,095","73,165","72,060","72,030","72,315","72,395","70,915","69,575","70,415","70,230","71,476","72,650","73,530","73,289","70,301"
Gross rent and other leasing and hiring income,$,"1,911,615,000","1,979,109,000","2,843,561,000","3,586,198,000","4,037,412,000","3,440,247,000","4,093,139,000","3,173,000,000","3,339,000,000","7,351,902,334","8,804,988,214","8,389,522,072","9,356,385,743","10,271,224,373","11,969,462,117","12,475,485,153","13,958,101,022","15,054,175,528","16,328,439,057","21,230,103,047","18,772,243,360","21,542,946,471","24,210,384,524","25,526,446,944","26,581,252,105","28,941,396,761","30,445,746,405","35,386,478,916","35,038,766,379","37,441,570,786","38,601,501,448","42,250,587,214","43,723,862,959","42,977,870,668","45,696,496,038","42,838,243,218"
Total dividends,no.,na,"32,745","29,930","29,040",na,"30,615","27,945","12,695","15,610","24,970","24,495","24,430","26,215","29,865","33,480","35,050","36,495","49,900","54,670","62,810","73,735","73,980","69,630","66,225","65,140","63,280","63,345","60,350","57,880","56,750","55,805","54,525","53,184","53,917","54,072","53,181"
Total dividends,$,"4,229,062,000","3,832,223,000","4,768,698,000","4,975,153,000",na,"10,771,562,000","13,576,895,000","7,267,000,000","10,566,000,000","18,643,688,977","20,764,215,310","21,872,011,456","22,040,708,606","23,554,760,152","26,673,305,222","35,690,751,117","42,258,927,070","54,281,735,236","93,873,147,490","66,206,403,919","70,390,342,491","59,922,440,865","50,691,928,546","22,407,194,454","21,820,709,734","26,722,772,779","38,993,493,004","38,507,234,999","37,197,637,744","30,243,751,164","43,352,304,911","42,139,055,825","49,080,464,472","43,558,697,003","38,553,130,988","51,592,848,658"
Fringe benefit employee contributions,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"41,485","50,435","53,670","55,495","58,200","60,855","63,305","65,460","67,375","68,685","69,960","72,220","78,755","82,150","84,978","90,590","94,102","95,228","92,977"
Fringe benefit employee contributions,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"275,508,780","317,706,343","332,983,224","356,890,787","356,070,656","385,377,389","382,352,623","396,164,898","445,847,615","491,509,346","576,418,927","568,444,137","661,813,555","755,153,467","839,072,620","965,344,469","1,101,570,423","1,109,603,030","1,082,429,128"
Assessable government industry payments,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"7,145","9,740","8,810","9,855","16,710","18,875","21,490","23,380","25,510","26,760","30,400","33,280","36,580","37,895","39,825","41,822","42,151","43,217","43,196","41,051"
Assessable government industry payments,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"395,091,516","542,129,679","610,448,314","859,598,087","1,257,154,821","1,425,215,800","1,579,627,076","1,637,045,222","2,066,379,335","2,364,666,530","2,694,256,533","2,977,163,464","2,774,080,201","3,282,754,625","3,816,633,866","4,164,158,454","4,818,547,172","5,134,331,853","5,181,388,718","5,449,365,902"
Unrealised gains on revaluation of assets to fair value,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,490","1,870","1,335","1,415","1,875","1,780","1,430","1,902","2,029","2,038","2,029"
Unrealised gains on revaluation of assets to fair value,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"12,638,183,055","14,274,357,824","14,911,735,103","20,837,367,434","30,219,399,520","11,417,670,310","18,385,164,760","31,329,114,597","23,749,676,228","23,479,407,305","28,699,254,449"
Income from financial arrangements (TOFA),no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,65,255,628,834,913,"1,012",na
Income from financial arrangements (TOFA),$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"195,918,715","17,566,072,994","30,007,549,390","66,331,187,934","36,308,070,454","37,304,807,976",na
Other gross income,no.,na,na,na,na,na,"11,980","9,945","5,015","6,645","265,610","279,935","289,790","305,810","332,000","354,445","259,620","255,410","256,320","261,795","276,540","303,925","309,750","311,525","329,965","338,555","342,075","351,370","357,725","353,225","353,870","364,135","375,222","386,237","398,470","408,258","396,984"
Other gross income,$,na,na,na,na,na,"3,910,061,000","5,297,411,000","3,212,000,000","2,142,000,000","655,653,848,592","581,187,295,204","617,532,667,384","682,821,457,340","767,666,384,590","780,098,854,344","221,038,466,756","195,169,374,712","194,776,887,606","211,796,537,869","224,466,188,662","258,942,609,991","263,046,673,900","272,419,395,689","268,704,040,534","278,682,612,459","276,913,315,025","333,594,527,038","382,791,686,682","364,382,322,184","313,019,404,495","336,018,176,676","319,310,890,272","321,262,849,171","332,572,563,534","354,983,337,964","387,608,557,388"
Total income3,no.,na,na,na,na,"170,390","176,420","170,735","73,900","104,300","352,060","366,675","376,135","395,310","426,885","458,855","481,055","504,345","534,420","559,065","587,425","609,390","631,265","648,130","663,475","682,335","700,745","718,650","730,460","723,335","728,395","746,235","771,336","792,533","817,795","834,246","812,984"
Total income3,$,na,na,na,na,"379,622,000,000","382,831,000,000","455,855,750,000","347,839,000,000","417,781,000,000","777,683,546,796","706,427,311,886","723,873,468,411","773,963,134,060","841,735,214,507","904,560,667,629","1,009,478,131,873","1,081,732,258,419","1,184,244,038,611","1,320,090,931,421","1,397,452,310,877","1,480,545,298,543","1,565,764,525,298","1,604,941,838,877","1,620,605,019,105","1,741,575,113,824","1,897,101,122,866","2,133,438,298,621","2,338,650,923,690","2,413,974,112,696","2,313,237,073,108","2,513,826,391,675","2,650,855,923,726","2,764,928,412,441","2,759,513,416,146","2,825,751,106,472","2,852,732,194,115"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign resident withholding expenses,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,115,210,300,350,360,380,390,455,486,502,306,301
Foreign resident withholding expenses,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"20,528,290","74,281,459","128,927,648","131,168,663","149,270,162","263,122,196","135,995,473","226,126,601","208,456,123","226,781,607","231,276,961","210,255,688"
Cost of sales,no.,na,na,na,na,na,na,na,na,na,"127,750","133,540","140,300","148,065","165,795","176,185","183,985","189,650","198,610","204,070","215,210","224,535","234,120","241,055","248,250","252,755","256,915","260,760","262,635","260,270","266,285","272,585","281,272","291,064","303,059","310,883","303,818"
Cost of sales,$,"97,149,944,000","146,342,010,000","138,137,309,000","180,107,044,000","212,800,887,000","214,269,788,000","256,616,757,000","188,914,000,000","229,050,000,000","326,836,116,457","328,975,198,958","328,768,750,729","354,690,604,958","436,963,868,878","423,673,460,791","466,731,176,363","477,503,622,870","519,440,438,281","555,142,363,432","595,120,129,673","607,863,064,096","670,314,531,708","710,977,978,523","723,916,010,075","779,488,236,065","843,909,759,451","908,307,618,843","973,597,104,259","1,026,634,328,764","1,004,500,382,412","1,063,549,518,547","1,128,314,966,640","1,182,256,574,644","1,189,940,491,453","1,223,142,121,933","1,225,922,318,441"
"Contractor, sub-contractor and commission expenses",no.,na,"34,950","35,565","40,015",na,na,na,na,"30,685","88,260","89,365","90,805","92,435","36,525","22,035","18,260","106,400","111,370","120,550","127,410","128,175","133,340","138,070","142,175","145,130","148,410","152,545","157,285","157,415","162,500","167,155","171,972","174,927","180,228","184,447","180,686"
"Contractor, sub-contractor and commission expenses",$,na,"4,034,798,000","4,229,614,000","5,125,964,000",na,na,na,na,"6,527,000,000","17,134,535,140","16,451,868,050","16,549,136,937","19,406,826,865","11,221,505,802","9,296,692,573","11,005,326,693","22,363,121,903","26,959,521,105","34,187,641,213","37,427,900,533","38,181,413,211","38,969,744,111","46,135,992,064","50,341,885,939","57,650,770,299","65,838,216,761","72,792,178,201","80,009,111,116","82,095,231,435","81,335,830,520","89,437,769,777","99,348,927,691","104,046,113,582","109,022,169,299","112,676,116,536","114,538,933,618"
Superannuation expenses,no.,na,"67,665","63,660","63,580","69,870","77,090","79,560","40,800","52,695","114,200","127,135","135,725","187,085","221,075","239,480","252,540","261,900","278,925","291,765","302,345","307,935","312,620","320,295","333,040","335,840","341,050","350,055","350,470","342,830","343,680","349,780","357,290","367,193","379,252","387,600","381,399"
Superannuation expenses,$,"1,237,185,000","1,169,922,000","1,189,178,000","1,452,845,000","1,588,447,000","1,633,690,000","1,915,329,000","1,434,000,000","1,592,000,000","2,909,625,234","4,903,840,062","4,714,233,360","5,723,882,427","6,829,447,103","6,373,163,542","8,259,420,790","8,580,460,695","8,930,425,377","10,463,461,097","11,386,806,060","12,525,261,974","13,815,990,754","15,985,999,205","17,749,967,329","18,588,889,375","21,919,496,543","25,914,871,261","27,151,067,240","28,361,878,100","26,657,145,771","28,221,067,438","30,199,374,900","30,210,223,132","32,814,374,709","36,101,611,390","35,547,970,413"
Bad debts,no.,na,"17,605","16,935",na,na,na,na,na,na,"27,200","30,085","30,060","29,685","30,290","31,895","33,425","34,685","36,845","38,075","39,935","42,520","43,625","42,660","41,540","41,425","42,015","41,975","43,690","44,925","44,305","45,050","46,612","47,745","47,720","47,640","46,048"
Bad debts,$,"308,385,000","321,248,000","433,054,000",na,na,na,na,na,na,"4,129,414,759","6,446,889,987","6,298,993,031","4,848,899,830","3,721,558,508","2,651,384,657","2,457,330,129","2,033,999,430","2,470,328,207","3,632,403,937","3,299,395,598","4,300,758,228","6,236,277,081","4,273,063,508","4,442,986,901","3,327,962,308","3,558,858,366","8,356,923,152","4,677,801,706","11,290,710,849","9,395,136,148","8,735,900,695","10,837,594,829","9,073,911,592","6,488,946,871","7,651,742,143","8,379,919,029"
Lease expenses within Australia,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"80,390","83,050","86,755","93,795","95,140","92,175","88,370","83,355","77,925","74,175","71,225","68,830","65,585","60,155","54,730","50,625","47,487","44,969","43,238","41,587","38,393"
Lease expenses within Australia,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"3,988,908,185","5,557,861,944","4,962,815,739","5,869,103,031","6,636,008,278","6,605,810,810","6,580,200,518","6,841,697,506","6,413,916,389","6,340,276,729","6,751,546,405","7,971,554,406","7,645,863,046","8,520,498,864","8,305,778,048","8,300,040,997","8,593,192,353","9,523,149,909","10,200,314,894","9,946,839,690","9,497,818,290"
Lease expenses overseas,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,460,"1,360","1,650","1,640","1,775","1,565","1,620","1,820","1,415","1,485","1,550","1,425","1,435","1,380","1,740","1,580","1,622","1,545","1,390","1,429","1,258"
Lease expenses overseas,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"105,349,380","190,507,208","134,538,972","254,132,102","178,283,599","186,130,743","501,451,376","540,784,111","234,021,218","395,388,264","420,004,520","309,579,612","430,163,176","607,715,107","913,790,601","845,211,277","1,280,269,985","1,650,075,013","1,821,173,756","2,644,704,226","2,771,589,552"
Rent expenses,no.,na,na,na,na,na,na,na,na,na,"134,890","139,035","141,960","146,800","159,230","170,090","174,415","182,495","192,875","199,110","207,955","214,030","220,615","225,150","229,215","233,660","238,505","243,630","246,335","244,275","249,600","257,175","266,387","275,955","287,143","294,371","287,252"
Rent expenses,$,na,na,na,na,na,na,na,na,na,"8,965,545,045","10,700,267,076","11,269,721,712","11,242,093,531","12,257,101,362","12,424,363,633","12,989,074,397","13,684,600,671","15,166,359,347","16,260,788,977","17,532,694,693","18,876,585,155","20,620,732,049","21,908,630,880","23,435,177,271","25,073,641,457","27,270,936,050","30,004,391,697","33,464,085,809","37,350,002,676","38,748,498,495","41,183,483,711","44,282,746,731","47,324,646,223","48,980,522,292","51,272,681,002","52,006,293,040"
Interest expenses within Australia,no.,na,na,na,na,na,na,na,na,na,na,na,"201,155","205,185","219,895","231,055","236,800","242,805","245,260","252,390","263,075","275,130","285,995","286,300","299,705","309,460","322,345","334,465","341,935","335,575","327,450","327,515","334,430","343,912","347,977","350,683","334,668"
Interest expenses within Australia,$,na,na,na,na,na,na,na,na,na,na,na,"61,111,730,943","50,772,863,901","43,984,031,272","55,733,160,190","66,836,474,669","72,149,787,261","74,103,454,618","75,659,440,607","88,777,358,322","110,736,849,784","107,445,493,299","86,292,007,872","91,287,220,025","97,136,218,779","99,750,618,309","125,279,255,439","168,396,507,214","157,765,621,483","135,827,745,928","151,910,574,502","157,211,747,275","132,206,498,545","116,807,629,639","110,217,476,007","102,838,549,420"
Interest expenses overseas,no.,na,na,na,na,na,na,na,na,na,na,na,"3,345","3,385","3,500","3,710","3,875","5,895","6,455","6,220","6,675","7,365","7,865","11,805","8,560","8,970","10,190","9,435","9,745","9,760","10,590","10,855","11,425","4,742","4,810","4,991","4,931"
Interest expenses overseas,$,na,na,na,na,na,na,na,na,na,na,na,"7,111,324,317","6,113,055,166","5,697,066,121","6,728,590,522","8,506,753,391","9,782,588,381","9,831,301,477","9,798,979,969","13,639,750,334","19,182,676,951","16,706,159,683","14,142,779,024","15,736,128,302","20,204,535,421","27,411,855,735","35,018,939,887","38,549,428,726","36,840,864,278","26,531,051,020","31,734,058,099","32,349,939,205","32,962,494,963","31,123,625,700","31,820,103,871","34,622,120,647"
Royalty expenses overseas,no.,na,na,na,na,na,na,na,na,na,na,na,"1,490","1,550","1,480","1,480","1,445","1,435","1,460","1,485","1,590","1,580","1,635","1,625","1,535","1,570","1,575","1,510","1,570","1,570","1,635","1,690","1,708","1,526","1,580","1,646","1,605"
Royalty expenses overseas,$,na,na,na,na,na,na,na,na,na,na,na,"1,203,116,905","1,343,814,796","1,509,000,865","1,647,164,910","1,545,934,309","1,676,540,860","1,990,012,407","2,113,064,559","2,345,572,403","2,546,678,313","2,554,729,175","3,019,323,926","3,133,417,281","3,081,476,521","3,910,691,752","4,648,796,202","4,763,608,806","5,255,644,306","5,846,209,046","6,131,907,144","6,419,919,903","6,184,159,782","6,667,646,618","7,462,724,473","7,579,241,704"
