Female,Non Taxable,b. 18 - 24,"a. $6,000 or less","a. $18,200 or less","57,167","53,389","160,625,709",15,"1,817",1,42,0,0,0,0,0,0,4,"18,769","43,699","144,311,093","35,420","12,865,639","4,159","813,538",40,"32,350",91,"47,306","6,451","16,361,942",444,"745,500",27,"44,903",11,"20,130","26,717","4,595,383",260,"39,179","1,489","762,722","1,490","325,801","53,406","166,833,652",446,"515,017",491,"291,406","4,409","737,772",361,"1,949,362","3,128","1,015,162","6,544","4,508,719",25,"14,006",102,"70,507",58,"7,900","1,228","190,796","1,843","379,814","8,308","5,576,751",38,"454,502",615,"210,116",71,"-698,671",836,"-147,336",358,"235,358",567,"1,083,930",14,"93,323",243,"2,265,531",260,"641,250",0,0,293,"1,300,176",138,"850,561",391,"407,413",323,"114,520",323,"26,596",311,"4,398,025",266,"3,177,789",122,"485,049",311,"3,262,365",72,"196,274",243,"-2,723,452",315,"-2,527,178",154,"129,927",146,"208,456",3,970,141,"401,359","1,267","23,924,999",847,"25,876,519","1,268","-2,878,108",0,0,0,0,0,0,15,"1,817",0,0,"16,149","283,473,975",0,0,38,"140,951","19,711","1,926","761,576",570,"87,794",131,"6,061"
Female,Non Taxable,b. 18 - 24,"b. $6,001 to $10,000","a. $18,200 or less","51,610","51,610","417,748,012",3,415,0,0,0,0,0,0,0,0,0,0,"47,798","344,417,878","43,818","27,077,575","6,189","1,309,696",70,"98,464",154,"98,406","12,734","59,964,331",422,"1,824,964",11,"12,694",12,"44,397","25,313","4,144,369",166,"42,621",976,"663,249",974,"280,013","51,610","423,242,108",774,"745,422",616,"234,913","7,398","1,308,745",493,"1,132,072","5,276","1,325,056","10,557","4,746,208",18,"4,320",81,"10,997",40,"24,247","1,923","248,924","2,429","324,119","12,417","5,438,588",61,"855,935",867,"389,915",25,"-7,482",775,"2,484,165",336,"340,654",581,"2,029,317",4,"25,191",117,"481,635",260,"378,999",0,0,282,"719,567",72,"489,206",376,"720,165",282,"222,533",298,"42,405",156,"1,848,672",120,"1,102,995",34,"109,256",156,"874,368",70,"313,522",88,"-551,469",158,"-237,947",183,"253,098",128,"316,849",3,"3,946",88,"75,767","1,081","11,788,762",683,"7,917,377","1,101","3,697,743",0,0,0,0,0,0,3,415,0,0,"18,571","325,720,041",0,0,57,"179,796","18,676","1,568","604,314",362,"51,262",109,"2,719"
Female,Non Taxable,b. 18 - 24,"c. $10,001 to $18,200","a. $18,200 or less","143,303","143,303","2,041,875,755",701,"117,001",0,0,0,0,0,0,0,0,0,0,"136,353","1,661,852,706","130,736","131,442,799","21,032","6,787,763",330,"378,927",659,"503,437","47,406","301,037,878","2,292","19,053,684",61,"222,157",44,"254,101","73,800","11,985,969",492,"139,899","2,804","1,878,556","2,797","799,963","143,303","2,068,047,463","4,170","4,431,029","2,421","1,181,753","30,513","5,940,181","2,224","5,124,070","21,559","6,232,565","41,906","22,909,598",79,"30,343",286,"71,162",119,"20,670","8,324","1,157,263","11,678","1,539,829","48,511","25,989,824",411,"6,577,899","2,739","1,918,924",156,"700,227","3,134","20,791,976","1,221","1,947,015","1,821","9,960,576",23,"50,825",326,"1,182,997",731,"1,660,059",0,0,788,"3,131,395",228,"797,785","1,195","3,881,719",844,"1,274,923",956,"211,436",462,"5,799,069",354,"3,488,464",136,"433,941",455,"2,644,117",176,"1,030,328",291,"-1,797,781",467,"-767,453",615,"1,211,307",478,"1,584,950",6,"36,374",317,"223,628","3,492","51,237,816","2,488","28,943,529","3,528","21,734,261",0,0,0,0,1,12,697,"116,884",0,0,"66,169","1,178,918,123",0,0,378,"1,472,901","51,769","5,939","2,113,387","1,143","167,794",401,"6,992"
Female,Non Taxable,b. 18 - 24,"d. $18,201 to $25,000","b. $18,201 to $37,000","57,223","57,223","1,127,212,907","57,196","16,352,380",90,"14,196",0,0,0,0,0,0,4,"15,771","53,442","864,570,412","51,343","73,044,134","9,613","6,407,064",147,"183,914",326,"276,114","19,853","125,215,220","5,077","79,454,630",28,"150,838",21,"128,435","30,063","4,866,436",177,"66,421","1,160","925,253","1,160","394,748","57,223","1,151,748,648","4,795","6,364,745","1,757","983,049","19,910","4,481,021","2,093","4,343,582","14,634","5,912,277","25,864","22,084,674",70,"22,767",209,"43,835",47,"6,906","5,948","940,431","8,321","1,168,892","28,679","24,485,905",324,"5,612,402","1,024","1,010,042",139,"895,859","3,133","35,267,507",687,"1,572,794",746,"5,277,148",6,"13,934",200,"924,040",381,"1,506,331",0,0,396,"2,732,362",89,"222,168",625,"3,333,950",428,"1,156,626",534,"264,945",255,"3,307,665",208,"2,076,463",78,"189,884",258,"1,517,635",94,"485,088",168,"-961,405",262,"-476,317",327,"1,154,931",231,"958,961",10,"25,089",197,"189,747","2,161","42,856,695","1,792","23,185,759","2,182","19,421,517",0,0,7,374,159,"1,778","45,368","11,120,226",0,0,"29,177","536,565,070",0,0,306,"1,362,130","19,257","3,205","1,131,395",502,"71,396",226,"2,994"
Female,Non Taxable,b. 18 - 24,"e. $25,001 to $30,000","b. $18,201 to $37,000","2,388","2,388","65,532,081","2,386","4,189,684",54,"26,424",0,0,0,0,0,0,1,"2,262","2,288","30,931,200","2,212","3,099,511",426,"165,273",14,"20,301",21,"31,729",530,"2,502,252","2,290","30,618,230",3,"28,395",1,"2,999",885,"61,957",3,798,19,"5,448",19,"2,300","2,388","66,558,149",226,"289,126",70,"27,950","1,014","221,493",70,"86,739",702,"277,764","1,229","903,072",1,13,5,260,1,"1,660",323,"35,445",559,"76,767","1,395","1,025,986",25,"348,068",42,"22,981",1,"3,120",17,"91,677",8,"10,515",19,"124,930",1,"3,071",7,"29,590",7,"25,767",0,0,8,"54,813",1,"3,171",57,"1,013,472",17,"224,310",60,"138,012",7,"60,529",7,"42,768",2,"4,450",7,"31,605",3,"2,512",4,"-20,806",7,"-18,294",9,"1,209",9,"30,571",0,0,7,"8,769",56,"1,055,120",50,"509,598",56,"536,635",0,0,0,0,2,81,144,"42,263",1,179,889,"14,791,030",0,0,21,"76,637",377,237,"93,970",37,"4,737",19,348
Female,Non Taxable,b. 18 - 24,"f. $30,001 to $37,000","b. $18,201 to $37,000","1,126","1,126","35,286,177","1,126","2,810,666",40,"26,048",0,0,0,0,0,0,0,0,"1,097","19,266,505","1,083","2,006,431",204,"119,132",2,"2,422",14,"14,703",259,"857,924","1,081","14,221,402",0,0,0,0,441,"46,950",0,0,5,"1,513",5,646,"1,126","35,999,344",177,"256,962",52,"20,984",549,"133,737",38,"48,715",389,"178,903",646,"639,301",1,475,3,226,1,150,189,"24,424",299,"46,163",710,"713,167",2,"14,833",25,"18,746",0,0,11,"-97,759",6,"25,450",14,"93,752",0,0,7,"12,420",1,"18,000",0,0,1,"18,000",0,0,40,"1,148,622",18,"553,764",42,"164,049",7,"73,448",5,"26,192",1,"3,684",6,"43,210",3,"11,629",4,"-11,267",7,362,8,"2,024",1,24,0,0,4,"2,278",23,"512,460",24,"314,256",24,"194,892",0,0,0,0,2,81,"1,124","286,892",1,143,386,"6,776,519",0,0,6,"25,125",190,123,"49,938",21,"4,720",12,22
Female,Non Taxable,b. 18 - 24,"g. $37,001 to $40,000","c. $37,001 to $80,000",10,10,"384,241",10,"41,173",9,"6,184",0,0,0,0,0,0,0,0,7,"77,159",7,"7,199",3,"17,990",0,0,0,0,2,"1,445",1,"13,923",0,0,0,0,6,"5,290",0,0,1,600,1,257,10,"388,515",1,"2,080",0,0,5,"1,032",1,76,2,148,6,"3,336",0,0,0,0,0,0,2,65,5,873,7,"4,274",0,0,0,0,0,0,2,"-65,731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"336,949",4,"179,067",9,"50,934",1,"7,800",1,"3,880",0,0,1,"3,287",1,633,0,0,1,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"4,236",0,0,7,"209,172",0,0,0,0,3,0,0,0,0,0,0
Female,Non Taxable,b. 18 - 24,"h. $40,001 to $45,000","c. $37,001 to $80,000",7,7,"288,372",7,"35,375",7,"5,000",0,0,0,0,0,0,0,0,4,"28,194",3,"3,560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,953,0,0,0,0,0,0,7,"299,152",0,0,0,0,1,60,0,0,0,0,1,60,0,0,0,0,1,"10,720",0,0,0,0,2,"10,780",0,0,1,520,0,0,3,"-3,479",2,"10,747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"273,484",2,"83,218",7,"59,689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"2,674",0,0,5,"126,387",0,0,0,0,5,1,50,1,23,0,0
Female,Non Taxable,b. 18 - 24,"i. $45,001 to $50,000","c. $37,001 to $80,000",5,5,"239,144",5,"33,027",5,"4,783",0,0,0,0,0,0,0,0,2,"8,615",2,"2,585",1,160,0,0,0,0,0,0,0,0,0,0,0,0,2,413,0,0,1,140,1,60,5,"245,652",1,"3,300",0,0,0,0,0,0,1,"3,098",1,"6,398",0,0,0,0,0,0,0,0,1,110,2,"6,508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"234,843",0,0,5,"45,383",1,"18,775",1,"12,572",1,10,1,"4,772",1,"1,421",0,0,1,"1,421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"1,413",0,0,2,"65,757",0,0,0,0,3,1,46,0,0,0,0
Female,Non Taxable,b. 18 - 24,"j. $50,001 to $55,000","c. $37,001 to $80,000",2,2,"103,510",2,"16,735",2,"2,070",0,0,0,0,0,0,0,0,1,"52,669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,177,0,0,0,0,0,0,2,"103,510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"50,664",0,0,2,"20,327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,447,0,0,2,"70,939",0,0,0,0,0,0,0,0,0,0,0
Female,Non Taxable,b. 18 - 24,"k. $55,001 to $60,000","c. $37,001 to $80,000",3,3,"173,840",3,"28,196",3,"3,477",0,0,0,0,0,0,0,0,1,"2,965",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"1,829",0,0,1,465,1,199,3,"174,309",0,0,0,0,0,0,0,0,1,282,1,282,0,0,0,0,0,0,0,0,1,187,2,469,0,0,0,0,0,0,1,"-140,642",1,"5,476",0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,"309,493",2,"253,090",3,"35,519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Female,Non Taxable,b. 18 - 24,"l. $60,001 to $70,000","c. $37,001 to $80,000",6,6,"379,971",6,"61,973",6,"7,599",0,0,0,0,0,0,3,"8,299",3,"131,298",3,"12,445",1,144,1,115,0,0,0,0,0,0,0,0,0,0,3,161,1,16,1,295,1,127,6,"403,195",2,"3,469",3,"7,701",1,"2,107",0,0,2,"9,947",3,"23,224",0,0,0,0,0,0,0,0,0,0,3,"23,224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,444,5,"271,708",1,69,6,"93,441",1,"19,145",1,"13,123",0,0,1,"6,691",0,0,1,-669,1,-669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,300,1,3,3,"45,997",0,0,0,0,3,1,547,0,0,0,0
Female,Non Taxable,b. 18 - 24,"m. $70,001 to $80,000","c. $37,001 to $80,000",3,3,"225,668",2,"31,536",2,"2,958",0,0,0,0,0,0,2,"8,587",2,"86,773",2,"13,694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,138,0,0,0,0,0,0,3,"233,403",1,422,1,"4,947",1,150,0,0,1,"2,086",1,"7,605",0,0,0,0,0,0,1,130,0,0,1,"7,735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"147,110",1,56,3,"41,471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"64,266",0,0,0,0,1,0,0,0,0,0,0
Female,Non Taxable,b. 18 - 24,"n. $80,001 to $87,000","d. $80,001 to $180,000",1,1,"85,511",1,"19,586",1,"1,710",0,0,0,0,0,0,1,"3,761",1,"31,472",1,"3,930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,1,"85,893",0,0,0,0,0,0,0,0,1,382,1,382,0,0,0,0,0,0,0,0,0,0,1,382,0,0,0,0,0,0,1,"-140,643",1,"5,476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"195,001",1,"195,001",1,"21,296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"3,761",0,0,0,0,1,0,0,0,0,0,0
Female,Non Taxable,b. 18 - 24,"p. $90,001 to $100,000","d. $80,001 to $180,000",1,1,"92,710",1,"22,250",1,"1,854",0,0,0,0,0,0,1,"6,490",1,"23,660",1,"3,649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,643,0,0,0,0,0,0,1,"93,010",0,0,0,0,0,0,0,0,1,300,1,300,0,0,0,0,0,0,0,0,0,0,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"92,228",0,0,1,"24,104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"32,857",0,0,0,0,1,0,0,0,0,0,0
Female,Non Taxable,b. 18 - 24,"q. $100,001 to $150,000","d. $80,001 to $180,000",2,2,"238,308",2,"37,957",2,"4,766",1,"1,451",0,0,0,0,0,0,1,"52,868",1,"9,970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,2,"249,396",0,0,0,0,0,0,1,"9,750",1,870,1,"10,620",0,0,0,0,0,0,0,0,0,0,2,"11,088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"253,297",2,"194,243",2,"74,661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2,262",0,0,0,0,1,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,70,0,0,1,70
Female,Non Taxable,c. 25 - 29,"a. $6,000 or less","a. $18,200 or less","45,275","38,494","71,321,089",12,"2,334",0,0,0,0,0,0,0,0,7,"51,901","24,933","90,428,371","20,762","10,766,049","1,977","1,088,456",76,"93,528",81,"91,873","2,558","7,199,087",613,"1,634,137",15,"21,238",8,"24,480","20,511","5,506,869",297,"55,400","1,319","686,619","1,311","293,830","38,503","81,564,453",562,"752,129",399,"393,387","2,967","556,038",352,"2,521,719","2,690","1,221,730","4,747","5,445,003",188,"158,210",142,"127,235",59,"120,030","1,292","448,742","3,062","752,620","7,559","7,629,749",166,"2,661,041",400,"275,632",293,"-7,063,722","1,072","-1,290,684",278,"98,027",605,"1,463,816",40,"291,236",734,"5,411,437",336,"846,401",0,0,391,"2,478,571",381,"6,191,771",354,"544,592",270,"154,498",252,"19,162","2,864","41,702,714","2,777","31,635,850","1,319","4,246,056","2,882","23,551,210",459,"994,264","2,444","-18,724,666","2,905","-17,730,402",151,"179,684",152,"289,887",5,"8,115",212,"559,373","2,818","89,115,376","2,340","94,962,286","2,878","-8,823,579",0,0,0,0,0,0,11,"1,903",0,0,"9,822","233,072,414",2,"5,444",5,"20,140","11,875","8,605","3,904,779","1,498","315,656",602,"70,840"
